day,date,week,age_group,age_group_name,infected_pcr_accum,infected_pcr_change,tested_pcr_accum,tested_pcr_change
72,2020-05-06,19,0,0-9,177,177,15035,15035
72,2020-05-06,19,1,10-19,389,389,14952,14952
72,2020-05-06,19,2,20-29,1328,1328,31469,31469
72,2020-05-06,19,3,30-39,1388,1388,40328,40328
72,2020-05-06,19,4,40-49,1791,1791,47630,47630
72,2020-05-06,19,5,50-59,1850,1850,49267,49267
72,2020-05-06,19,6,60-69,1191,1191,34031,34031
72,2020-05-06,19,7,70-79,884,884,22157,22157
72,2020-05-06,19,8,80-89,711,711,12282,12282
72,2020-05-06,19,9,90+,229,229,3529,3529
73,2020-05-07,19,0,0-9,187,10,15749,714
73,2020-05-07,19,1,10-19,398,9,15836,884
73,2020-05-07,19,2,20-29,1346,18,33206,1737
73,2020-05-07,19,3,30-39,1408,20,42243,1915
73,2020-05-07,19,4,40-49,1822,31,49975,2345
73,2020-05-07,19,5,50-59,1873,23,51791,2524
73,2020-05-07,19,6,60-69,1204,13,35950,1919
73,2020-05-07,19,7,70-79,892,8,23271,1114
73,2020-05-07,19,8,80-89,720,9,12790,508
73,2020-05-07,19,9,90+,233,4,3669,140
74,2020-05-08,19,0,0-9,195,8,16425,676
74,2020-05-08,19,1,10-19,410,12,16764,928
74,2020-05-08,19,2,20-29,1368,22,35126,1920
74,2020-05-08,19,3,30-39,1427,19,44262,2019
74,2020-05-08,19,4,40-49,1842,20,52330,2355
74,2020-05-08,19,5,50-59,1894,21,54421,2630
74,2020-05-08,19,6,60-69,1218,14,37759,1809
74,2020-05-08,19,7,70-79,900,8,24299,1028
74,2020-05-08,19,8,80-89,731,11,13292,502
74,2020-05-08,19,9,90+,233,0,3810,141
75,2020-05-09,19,0,0-9,200,5,16884,459
75,2020-05-09,19,1,10-19,416,6,17358,594
75,2020-05-09,19,2,20-29,1389,21,36667,1541
75,2020-05-09,19,3,30-39,1439,12,45902,1640
75,2020-05-09,19,4,40-49,1858,16,54132,1802
75,2020-05-09,19,5,50-59,1910,16,56352,1931
75,2020-05-09,19,6,60-69,1231,13,39095,1336
75,2020-05-09,19,7,70-79,910,10,25003,704
75,2020-05-09,19,8,80-89,733,2,13679,387
75,2020-05-09,19,9,90+,233,0,3912,102
76,2020-05-10,19,0,0-9,201,1,17445,561
76,2020-05-10,19,1,10-19,426,10,18115,757
76,2020-05-10,19,2,20-29,1407,18,37833,1166
76,2020-05-10,19,3,30-39,1463,24,47277,1375
76,2020-05-10,19,4,40-49,1875,17,55429,1297
76,2020-05-10,19,5,50-59,1928,18,57652,1300
76,2020-05-10,19,6,60-69,1242,11,40076,981
76,2020-05-10,19,7,70-79,918,8,25816,813
76,2020-05-10,19,8,80-89,736,3,14137,458
76,2020-05-10,19,9,90+,233,0,4054,142
77,2020-05-11,20,0,0-9,208,7,17801,356
77,2020-05-11,20,1,10-19,438,12,18583,468
77,2020-05-11,20,2,20-29,1422,15,39179,1346
77,2020-05-11,20,3,30-39,1469,6,48602,1325
77,2020-05-11,20,4,40-49,1892,17,56913,1484
77,2020-05-11,20,5,50-59,1941,13,59211,1559
77,2020-05-11,20,6,60-69,1247,5,41168,1092
77,2020-05-11,20,7,70-79,922,4,26501,685
77,2020-05-11,20,8,80-89,739,3,14454,317
77,2020-05-11,20,9,90+,235,2,4148,94
78,2020-05-12,20,0,0-9,212,4,18274,473
78,2020-05-12,20,1,10-19,444,6,19087,504
78,2020-05-12,20,2,20-29,1436,14,40144,965
78,2020-05-12,20,3,30-39,1476,7,49682,1080
78,2020-05-12,20,4,40-49,1903,11,58065,1152
78,2020-05-12,20,5,50-59,1964,23,60493,1282
78,2020-05-12,20,6,60-69,1252,5,42183,1015
78,2020-05-12,20,7,70-79,926,4,27278,777
78,2020-05-12,20,8,80-89,742,3,14824,370
78,2020-05-12,20,9,90+,236,1,4230,82
79,2020-05-13,20,0,0-9,217,5,18869,595
79,2020-05-13,20,1,10-19,454,10,19856,769
79,2020-05-13,20,2,20-29,1443,7,41625,1481
79,2020-05-13,20,3,30-39,1495,19,51389,1707
79,2020-05-13,20,4,40-49,1918,15,59998,1933
79,2020-05-13,20,5,50-59,1976,12,62548,2055
79,2020-05-13,20,6,60-69,1257,5,43691,1508
79,2020-05-13,20,7,70-79,927,1,28202,924
79,2020-05-13,20,8,80-89,743,1,15208,384
79,2020-05-13,20,9,90+,237,1,4326,96
80,2020-05-14,20,0,0-9,218,1,19580,711
80,2020-05-14,20,1,10-19,457,3,20720,864
80,2020-05-14,20,2,20-29,1450,7,43369,1744
80,2020-05-14,20,3,30-39,1509,14,53150,1761
80,2020-05-14,20,4,40-49,1922,4,61977,1979
80,2020-05-14,20,5,50-59,1988,12,64610,2062
80,2020-05-14,20,6,60-69,1260,3,45235,1544
80,2020-05-14,20,7,70-79,927,0,29233,1031
80,2020-05-14,20,8,80-89,745,2,15675,467
80,2020-05-14,20,9,90+,237,0,4437,111
81,2020-05-15,20,0,0-9,223,5,20212,632
81,2020-05-15,20,1,10-19,465,8,21511,791
81,2020-05-15,20,2,20-29,1460,10,44767,1398
81,2020-05-15,20,3,30-39,1521,12,54821,1671
81,2020-05-15,20,4,40-49,1935,13,63744,1767
81,2020-05-15,20,5,50-59,1999,11,66506,1896
81,2020-05-15,20,6,60-69,1269,9,46591,1356
81,2020-05-15,20,7,70-79,932,5,30140,907
81,2020-05-15,20,8,80-89,747,2,16076,401
81,2020-05-15,20,9,90+,240,3,4521,84
82,2020-05-16,20,0,0-9,228,5,20880,668
82,2020-05-16,20,1,10-19,474,9,22339,828
82,2020-05-16,20,2,20-29,1468,8,46211,1444
82,2020-05-16,20,3,30-39,1535,14,56348,1527
82,2020-05-16,20,4,40-49,1942,7,65392,1648
82,2020-05-16,20,5,50-59,2005,6,68205,1699
82,2020-05-16,20,6,60-69,1275,6,47821,1230
82,2020-05-16,20,7,70-79,939,7,31069,929
82,2020-05-16,20,8,80-89,751,4,16572,496
82,2020-05-16,20,9,90+,241,1,4645,124
83,2020-05-17,20,0,0-9,231,3,21428,548
83,2020-05-17,20,1,10-19,477,3,23004,665
83,2020-05-17,20,2,20-29,1482,14,47480,1269
