day,year,week,variant,ireg,region,positive,genomes,cases
237,2020,42,20e-eu1,1,nordjylland,3,138,329
237,2020,42,20e-eu1,2,midtjylland,67,208,677
237,2020,42,20e-eu1,3,syddanmark,14,149,548
237,2020,42,20e-eu1,4,copenhagen,121,449,1307
237,2020,42,20e-eu1,5,sjaelland,29,93,279
237,2020,42,20e-eu1,6,whole_denmark,228,1037,3199
237,2020,42,b117,1,nordjylland,0,138,329
237,2020,42,b117,2,midtjylland,0,208,677
237,2020,42,b117,3,syddanmark,0,149,548
237,2020,42,b117,4,copenhagen,0,449,1307
237,2020,42,b117,5,sjaelland,0,93,279
237,2020,42,b117,6,whole_denmark,0,1037,3199
237,2020,42,b1351,1,nordjylland,0,138,329
237,2020,42,b1351,2,midtjylland,0,208,677
237,2020,42,b1351,3,syddanmark,0,149,548
237,2020,42,b1351,4,copenhagen,0,449,1307
237,2020,42,b1351,5,sjaelland,0,93,279
237,2020,42,b1351,6,whole_denmark,0,1037,3199
237,2020,42,d614g,1,nordjylland,138,138,329
237,2020,42,d614g,2,midtjylland,208,208,677
237,2020,42,d614g,3,syddanmark,148,149,548
237,2020,42,d614g,4,copenhagen,448,449,1307
237,2020,42,d614g,5,sjaelland,93,93,279
237,2020,42,d614g,6,whole_denmark,1035,1037,3199
237,2020,42,e484k,1,nordjylland,0,138,329
237,2020,42,e484k,2,midtjylland,0,208,677
237,2020,42,e484k,3,syddanmark,0,149,548
237,2020,42,e484k,4,copenhagen,0,449,1307
237,2020,42,e484k,5,sjaelland,0,93,279
237,2020,42,e484k,6,whole_denmark,0,1037,3199
237,2020,42,n439k,1,nordjylland,19,138,329
237,2020,42,n439k,2,midtjylland,22,208,677
237,2020,42,n439k,3,syddanmark,18,149,548
237,2020,42,n439k,4,copenhagen,79,449,1307
237,2020,42,n439k,5,sjaelland,39,93,279
237,2020,42,n439k,6,whole_denmark,177,1037,3199
237,2020,42,n501y,1,nordjylland,0,138,329
237,2020,42,n501y,2,midtjylland,0,208,677
237,2020,42,n501y,3,syddanmark,0,149,548
237,2020,42,n501y,4,copenhagen,0,449,1307
237,2020,42,n501y,5,sjaelland,0,93,279
237,2020,42,n501y,6,whole_denmark,0,1037,3199
237,2020,42,p1,1,nordjylland,0,138,329
237,2020,42,p1,2,midtjylland,0,208,677
237,2020,42,p1,3,syddanmark,0,149,548
237,2020,42,p1,4,copenhagen,0,449,1307
237,2020,42,p1,5,sjaelland,0,93,279
237,2020,42,p1,6,whole_denmark,0,1037,3199
237,2020,42,y453f,1,nordjylland,72,138,329
237,2020,42,y453f,2,midtjylland,6,208,677
237,2020,42,y453f,3,syddanmark,0,149,548
237,2020,42,y453f,4,copenhagen,1,449,1307
237,2020,42,y453f,5,sjaelland,0,93,279
237,2020,42,y453f,6,whole_denmark,79,1037,3199
244,2020,43,20e-eu1,0,other,0,2,
244,2020,43,20e-eu1,1,nordjylland,8,39,679
244,2020,43,20e-eu1,2,midtjylland,18,54,1186
244,2020,43,20e-eu1,3,syddanmark,6,44,826
244,2020,43,20e-eu1,4,copenhagen,50,178,2539
244,2020,43,20e-eu1,5,sjaelland,10,40,536
244,2020,43,20e-eu1,6,whole_denmark,92,357,5844
244,2020,43,b117,0,other,0,2,
244,2020,43,b117,1,nordjylland,0,39,679
244,2020,43,b117,2,midtjylland,0,54,1186
244,2020,43,b117,3,syddanmark,0,44,826
244,2020,43,b117,4,copenhagen,0,178,2539
244,2020,43,b117,5,sjaelland,0,40,536
244,2020,43,b117,6,whole_denmark,0,357,5844
244,2020,43,b1351,0,other,0,2,
244,2020,43,b1351,1,nordjylland,0,39,679
244,2020,43,b1351,2,midtjylland,0,54,1186
244,2020,43,b1351,3,syddanmark,0,44,826
244,2020,43,b1351,4,copenhagen,0,178,2539
244,2020,43,b1351,5,sjaelland,0,40,536
244,2020,43,b1351,6,whole_denmark,0,357,5844
244,2020,43,d614g,1,nordjylland,39,39,679
244,2020,43,d614g,2,midtjylland,54,54,1186
244,2020,43,d614g,3,syddanmark,44,44,826
244,2020,43,d614g,4,copenhagen,178,178,2539
244,2020,43,d614g,5,sjaelland,40,40,536
244,2020,43,d614g,6,whole_denmark,355,355,5844
244,2020,43,e484k,0,other,0,2,
244,2020,43,e484k,1,nordjylland,0,39,679
244,2020,43,e484k,2,midtjylland,0,54,1186
244,2020,43,e484k,3,syddanmark,0,44,826
244,2020,43,e484k,4,copenhagen,0,178,2539
244,2020,43,e484k,5,sjaelland,0,40,536
244,2020,43,e484k,6,whole_denmark,0,357,5844
244,2020,43,n439k,0,other,0,2,
244,2020,43,n439k,1,nordjylland,2,39,679
244,2020,43,n439k,2,midtjylland,8,54,1186
244,2020,43,n439k,3,syddanmark,4,44,826
244,2020,43,n439k,4,copenhagen,35,178,2539
244,2020,43,n439k,5,sjaelland,6,40,536
244,2020,43,n439k,6,whole_denmark,55,357,5844
244,2020,43,n501y,0,other,0,2,
244,2020,43,n501y,1,nordjylland,0,39,679
244,2020,43,n501y,2,midtjylland,0,54,1186
244,2020,43,n501y,3,syddanmark,0,44,826
244,2020,43,n501y,4,copenhagen,0,178,2539
244,2020,43,n501y,5,sjaelland,0,40,536
244,2020,43,n501y,6,whole_denmark,0,357,5844
244,2020,43,p1,0,other,0,2,
244,2020,43,p1,1,nordjylland,0,39,679
244,2020,43,p1,2,midtjylland,0,54,1186
244,2020,43,p1,3,syddanmark,0,44,826
244,2020,43,p1,4,copenhagen,0,178,2539
244,2020,43,p1,5,sjaelland,0,40,536
244,2020,43,p1,6,whole_denmark,0,357,5844
244,2020,43,p2,0,other,0,2,
244,2020,43,p2,1,nordjylland,0,39,679
244,2020,43,p2,2,midtjylland,0,54,1186
244,2020,43,p2,3,syddanmark,0,44,826
244,2020,43,p2,4,copenhagen,0,178,2539
244,2020,43,p2,5,sjaelland,0,40,536
244,2020,43,p2,6,whole_denmark,0,357,5844
244,2020,43,y453f,0,other,0,2,
244,2020,43,y453f,1,nordjylland,16,39,679
244,2020,43,y453f,2,midtjylland,3,54,1186
244,2020,43,y453f,3,syddanmark,1,44,826
244,2020,43,y453f,4,copenhagen,0,178,2539
244,2020,43,y453f,5,sjaelland,3,40,536
244,2020,43,y453f,6,whole_denmark,23,357,5844
251,2020,44,20e-eu1,0,other,1,7,
251,2020,44,20e-eu1,1,nordjylland,76,154,819
251,2020,44,20e-eu1,2,midtjylland,62,178,1294
251,2020,44,20e-eu1,3,syddanmark,41,173,1024
251,2020,44,20e-eu1,4,copenhagen,161,564,3456
251,2020,44,20e-eu1,5,sjaelland,51,132,830
251,2020,44,20e-eu1,6,whole_denmark,392,1208,7502
251,2020,44,b117,0,other,0,7,
251,2020,44,b117,1,nordjylland,0,154,819
251,2020,44,b117,2,midtjylland,0,178,1294
251,2020,44,b117,3,syddanmark,0,173,1024
251,2020,44,b117,4,copenhagen,0,564,3456
251,2020,44,b117,5,sjaelland,0,132,830
251,2020,44,b117,6,whole_denmark,0,1208,7502
251,2020,44,b1351,0,other,0,7,
251,2020,44,b1351,1,nordjylland,0,154,819
251,2020,44,b1351,2,midtjylland,0,178,1294
251,2020,44,b1351,3,syddanmark,0,173,1024
251,2020,44,b1351,4,copenhagen,0,564,3456
251,2020,44,b1351,5,sjaelland,0,132,830
251,2020,44,b1351,6,whole_denmark,0,1208,7502
251,2020,44,b1525,0,other,0,7,
251,2020,44,b1525,1,nordjylland,0,154,819
251,2020,44,b1525,2,midtjylland,0,178,1294
251,2020,44,b1525,3,syddanmark,0,173,1024
251,2020,44,b1525,4,copenhagen,0,564,3456
251,2020,44,b1525,5,sjaelland,0,132,830
251,2020,44,b1525,6,whole_denmark,0,1208,7502
251,2020,44,d614g,1,nordjylland,176,177,819
251,2020,44,d614g,2,midtjylland,181,181,1294
251,2020,44,d614g,3,syddanmark,174,174,1024
251,2020,44,d614g,4,copenhagen,564,564,3456
251,2020,44,d614g,5,sjaelland,131,132,830
